Client,Project,Registered time,Billable time,Amount ()
,7.0 Functional Workshop,08:28:00,,
,7.1 Basic & Intermediate Algorithm Scripting ,12:42:00,,
,7.2 Dive Deeper into Functions,02:00:00,,
,7.3 Cultural Blog,03:32:00,,
,7.4 Debugging,01:40:00,,
,Sprint 7 Links,00:21:00,,
,Sprint 7 Reminders,01:02:43,,
