Client,Project,Registered time,Billable time,Amount ()
,3.0 Redesign Your Site,01:00:00,,
,3.1 Build Your Redesigned Site,00:00:37,,
,4.0 Free Code Camp ,19:04:47,,
,4.1 Technical Blog,03:43:15,,
,4.2 Cultural Blog,03:34:12,,
,Sprint 3 Reminders,00:31:38,,
,Sprint 4 Reminders,01:59:32,,
,Sprint 4 Update Links,03:50:51,,
