Client,Project,Registered time,Billable time,Amount ()
,2.3 Udacity HTML & CSS Lesson 2 #2369,05:39:30,,
,2.5 Pay off some technical debt #2367,01:45:00,,
,3.0 Redesign Your Site,10:07:47,,
,3.1 Build Your Redesigned Site,95:26:42,,
,3.2 Technical Blog,11:39:50,,
,3.3 Cultural Blog,09:07:58,,
,Sprint 3 Concepts,00:54:33,,
,Sprint 3 Reminders,01:35:09,,
