Client,Project,Registered time,Billable time,Amount ()
,2.0 Udacity HTML & CSS Lesson 1 #2372,07:19:28,,
,2.1 Udacity Practice #2371,03:58:48,,
,2.2 Technical Blog Part 1 (Udacity Reflection) #2370 ,02:37:21,,
,#2373 0.0 Sprint Reminders (Start here),00:57:41,,
,2.3 Udacity HTML & CSS Lesson 2 #2369,09:00:26,,
,2.4 Technical Blog Part 2 (Udacity Reflection) #2368,00:31:23,,
,2.5 Pay off some technical debt #2367,04:16:27,,
,2.6 Cultural Blog #2366,00:52:06,,
