Client,Project,User,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-11,2017-11-12,Total
,,Benlvink,,,03:16:50,01:30:10,00:55:57,37:17:44,,43:00:41
Total:,,,,,03:16:50,01:30:10,00:55:57,37:17:44,,43:00:41
