Client,Project,User,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-18,2017-11-19,Total
,,Benlvink,01:40:44,06:23:13,05:00:09,09:06:12,01:18:42,,,23:29:00
Total:,,,01:40:44,06:23:13,05:00:09,09:06:12,01:18:42,,,23:29:00
